"Indices","Ametek.Industrials","Amgen.Inc.Health.Care","Amphenol.Corp.A.Industrials","Anadarko.Petroleum.Corp.Energy","Analog.Devices..Inc..Information.Technology","Mylan.N.V..Health.Care","NASDAQ.OMX.Group.Financials","National.Oilwell.Varco.Inc..Energy","NetApp.Information.Technology","Netflix.Inc..Information.Technology","State.Street.Corp..Financials","Stericycle.Inc.Industrials","Stryker.Corp..Health.Care","SunTrust.Banks.Financials","Symantec.Corp..Information.Technology","The.Travelers.Companies.Inc..Financials","Thermo.Fisher.Scientific.Health.Care","Torchmark.Corp..Financials","Total.System.Services.Information.Technology","Transocean.Energy","Whole.Foods.Market.Consumer.Staples","Williams.Cos..Energy","Wisconsin.Energy.Corporation.Utilities","Xcel.Energy.Inc.Utilities","Xerox.Corp..Information.Technology","Xilinx.Inc.Information.Technology","XL.Capital.Financials","Yahoo.Inc..Information.Technology","Yum..Brands.Inc.Consumer.Discretionary","Zimmer.Holdings.Health.Care","Zions.Bancorp.Financials"
"Cluster-1",0.353323941699732,-0.170890226127633,0.208257847623698,-0.00558600410902942,0.12898668491387,0.0599069531892896,0.064617779188512,0.133293247889471,0.0725308026149917,0.11609101479924,0.0512496997869657,0.123639609792414,-0.00920524324349773,0.0548504888959218,-0.00946188888801654,-0.100933389052622,0.120801290520482,0.0564179584343116,0.146827445531502,0.0288003301630799,0.0773053802291466,0.0591405096127076,-0.164424265504427,-0.170742125624315,0.126649850530798,0.147864492660176,0.0918863049094135,0.0520765972699558,0.0593335007887586,-0.0341923769257819,0.0975655217942911
"Cluster-2",0.00632265021516884,0.43848200562972,-0.0324518370554,-0.111560311740138,-0.0170757768876193,0.335457371981544,-0.0149744070453377,-0.184119478563454,-0.0540480609129821,0.0509915258565818,-0.0711387582989519,0.129018873463795,0.384869009369149,-0.113657569617132,0.0629066690591266,0.0150197277081972,0.328285222310367,-0.0398873379981726,0.0255316623748578,-0.117477457960243,0.0138287196105162,-0.118998668671559,0.00835450728104864,0.0119783217365205,0.0190002569003746,-0.0134883134797394,-0.039127856492908,0.047625176739399,0.0123424981434164,0.37243451985856,-0.107313344992771
"Cluster-3",0.133808244215846,-0.0601064521034146,0.314032936441919,-0.0141876554804561,0.516043911084936,0.035048762932065,0.0180903155596489,0.0334247202768753,0.3903204262628,0.299086881268706,-0.0714421515125078,-0.043391501908464,-0.00624767819919432,-0.120207566104521,0.2615881219296,-0.203564960038608,0.0821717545173045,-0.130335947528869,0.084328705089788,0.0262038178536847,0.0926465358414208,-0.0403874901147416,-0.2449082526851,-0.278943927848247,0.119082727056291,0.492471611692024,-0.0117806036631957,0.220979993096771,0.028977958568221,-0.0513219074285115,-0.0346331269226445
"Cluster-4",0.011088912780262,-0.152874046945509,-0.0173485825025668,-0.0240981195763713,-0.0668183573355644,-0.00830213052942112,0.27928934804147,-0.00989375805918492,0.00900423268643393,-0.0137516643385562,0.487647041453182,-0.0332357863247373,-0.0485404054333389,0.446185595673523,-0.0823131204420022,0.307649619469511,0.00687248087183227,0.482974982439748,-0.0498779947659953,0.0237644518887024,-0.0522707445034467,-0.0927221008560786,-0.138601600780598,-0.156448216221164,0.0873399876336147,-0.0429793992775074,0.336789099946614,-0.0536873873672498,-0.0916564169431307,-0.0183757382125863,0.387159301497237
"Cluster-5",-0.077833383953515,0.0617943189439228,-0.0474051635581602,-0.000266572874803132,-0.148210555344103,-0.00398019018334862,-0.0332869166314141,-0.0415087532180652,-0.127534457891187,-0.100818279948276,-0.150474136101794,0.12624284746327,0.0104614586183413,-0.0907440272450696,-0.0465426262424899,0.0880105082775775,-0.0738625178708655,0.000692591869346802,-0.0115082223725142,-0.0731169377084079,-0.0539952362029291,0.114427515897748,0.825196650073368,0.860006558716742,-0.102341102761946,-0.113384344499623,0.0234054668333284,-0.115869219806487,-0.00671670937306912,-0.00958891501602752,-0.139853815695209
"Cluster-6",-0.10849291838255,0.148994383915682,-0.0975945857949652,-0.184145932404881,-0.112243805194864,0.0353972184616158,-0.0595959451527202,-0.239416711818169,-0.15868827052783,-0.0682016605910361,-0.12022017576073,0.153030776182542,0.070471824701157,-0.193572958392752,-0.017104056012446,0.144364106637612,-0.0183161840105115,-0.0154333309255318,-0.00712867919062231,-0.167771088035934,0.136373486402931,-0.0785686714489411,0.290492115534855,0.312288683815215,-0.0559775782911793,-0.106096692191535,-0.00664565843723378,-0.0281549249675602,0.0644600648244324,0.037109646780581,-0.226866985637207
"Cluster-7",0.109762880496839,-0.178462119826143,0.0209909949919955,0.571293707446652,-0.0374699766558417,-0.050141188234978,-0.00546706987639912,0.632315840204869,0.0445593453084451,0.0166833581543514,-0.0250448886411597,-0.0922899267527841,-0.127717766567308,-0.0320000330403881,-0.0290240088605207,-0.0961428352049841,-0.0749606017030894,-0.0877120036327335,-0.0651309701794757,0.533300169045128,-0.022487636257358,0.435749082406693,-0.0780087673153692,-0.0684115175759476,0.0070821464484311,0.00504499034616893,0.00550012236362702,-0.0216143300066741,-0.0737979260907611,-0.079708517481033,0.0236754220287292
"Cluster-8",-0.0558931759963454,-0.0859026887731226,0.00141133487291105,-0.0643144385330928,-0.0901365833886026,-0.0366633002188849,0.0583673783127312,-0.0271764007745906,-0.0380428370637579,-0.0383203344786373,-0.0453585228816048,0.0792018784110587,-0.0020238754823663,0.0519640002449765,-0.0631666020519363,0.10818027917551,-0.0356423157498064,0.130297726303723,-0.0226494823154596,-0.10131793154518,0.0423799866249291,0.0126183277911593,0.30636561465019,0.243357847898068,-0.0455038289403005,-0.0947282468666422,0.137994586461828,-0.0712182255358799,0.0246471916541383,-0.0241885687442102,0.0190193783275567
"Cluster-9",0.128577787305428,-0.0684381501381908,0.0859494256979403,-0.106412986195503,0.0446782388616499,0.0249054406440915,-0.00337827864348399,-0.0768287835754372,0.00440369112214063,0.12632874127456,-0.0621256506818498,0.0585333256808219,-0.00279966297484609,-0.0202494960394674,0.00348013290810775,-0.0618082112407073,0.0348926907683268,-0.000993446708785219,0.0616076496727355,-0.113717393846007,0.227638275047148,-0.0145874776205628,-0.0503141629890863,-0.0631415131657036,0.00866140667863278,0.0278827602144305,0.0193370240202578,0.0930634257684474,0.2581994082291,-0.0200135907756819,0.00884113804274148
"Cluster-10",-0.0274524986042706,-0.128419823422466,-0.091057970626383,-0.035063637315911,-0.0768805692914988,-0.0439680467817454,0.0990367614686021,-0.0457615815285097,-0.0553823491363566,-0.0468347526851124,0.316912017441307,-0.0199787794668566,0.0239905367425044,0.771977167301081,-0.0420119250468246,0.104893529135231,-0.0487205018136832,0.318117222235031,-0.102190028112785,0.00226757282520904,-0.00609282122289054,-0.0839943969074587,-0.109133175655046,-0.111116338679408,0.04083880823353,-0.0574556502777927,0.163281123501565,-0.136638538402124,-0.0390505830303514,-0.0152059686107659,0.718255130816179
